,LacI protein_amici,LacI protein_copasi,LacI protein_tellurium,TetR protein_amici,TetR protein_copasi,TetR protein_tellurium,cI protein_amici,cI protein_copasi,cI protein_tellurium,LacI mRNA_amici,LacI mRNA_copasi,LacI mRNA_tellurium,TetR mRNA_amici,TetR mRNA_copasi,TetR mRNA_tellurium,cI mRNA_amici,cI mRNA_copasi,cI mRNA_tellurium
228,264.947327640966,137.0,264.93633581826,115.72739124232432,63.0,115.72995716720337,264.947327640966,463.0,264.93633581826,7.0137421319261,66.0,7.013453916205793,0.12538966590027986,1.0,0.1253872945024779,7.0137421319261,0.0,7.013453916205793
229,296.96308366718256,125.0,296.95078748054067,108.8291336906728,61.0,108.83151108430442,296.96308366718256,430.0,296.95078748054067,7.850293279158575,50.0,7.849977283223014,0.12901986348765915,0.0,0.12901719338008044,7.850293279158575,0.0,7.849977283223014
230,332.70702756296356,116.0,332.693322446135,102.41924621195201,60.0,102.42144590579557,332.70702756296356,398.0,332.693322446135,8.767097111491996,44.0,8.76675251756966,0.13328371891744786,0.0,0.13328080160861422,8.767097111491996,0.0,8.76675251756966
231,372.47651324376335,104.0,372.4612974154955,96.46953768829951,65.0,96.47157027289127,372.47651324376335,382.0,372.4612974154955,9.766813917006221,50.0,9.766440344676129,0.138263100678599,0.0,0.13826004566160582,9.766813917006221,0.0,9.766440344676129
232,416.56291221412187,100.0,416.54609566926126,90.95429792068214,71.0,90.95617371362316,416.56291221412187,356.0,416.54609566926126,10.850904602886407,48.0,10.850502196103093,0.14405333423125918,0.0,0.14405013011865825,10.850904602886407,0.0,10.850502196103093
233,465.2428961990276,91.0,465.22438988870044,85.85022698402425,85.0,85.85195511574496,465.2428961990276,330.0,465.22438988870044,12.019307038804605,40.0,12.01887642027763,0.15076484867402162,0.0,0.15076135216660863,12.019307038804605,0.0,12.01887642027763
234,518.7680745381165,87.0,518.7478081171469,81.13638123409048,98.0,81.13796922437349,518.7680745381165,315.0,518.7478081171469,13.270096799024996,37.0,13.269639410867756,0.1585250928371766,0.0,0.15852121700913857,13.270096799024996,1.0,13.269639410867756
235,577.3530366896508,77.0,577.3309680845788,76.79413690594552,104.0,76.79559133122542,577.3530366896508,295.0,577.3309680845788,14.599147331152011,28.0,14.598665638710164,0.16748075474177596,0.0,0.16747641551773398,14.599147331152011,1.0,14.598665638710164
236,641.162013493158,74.0,641.1381131867863,72.80717203505148,106.0,72.80849847496276,641.162013493158,275.0,641.1381131867863,15.999809669566883,25.0,15.99930693043328,0.17780030691269857,0.0,0.17779540038833722,15.999809669566883,0.0,15.99930693043328
237,710.2943530662191,67.0,710.2686194943884,69.16146779750845,119.0,69.1626706559565,710.2943530662191,253.0,710.2686194943884,17.462631692629074,22.0,17.462112077168488,0.18967693492074403,0.0,0.18967136395019496,17.462631692629074,0.0,17.462112077168488
238,784.76931548177,59.0,784.7417891014076,65.84533097222071,142.0,65.84641375962306,784.76931548177,236.0,784.7417891014076,18.975143759069223,19.0,18.97461287295774,0.20333187802630762,0.0,0.20332553818719692,18.975143759069223,1.0,18.97461287295774
239,864.510776783892,57.0,864.4815297809729,62.84943850207606,176.0,62.85040374756089,864.510776783892,214.0,864.4815297809729,20.521732355133437,19.0,20.521196666534074,0.21901822113982036,0.0,0.21901099251517442,20.521732355133437,2.0,20.521196666534074
240,949.3324104478625,59.0,949.3015572426534,60.16690647210978,202.0,60.167755704703055,949.3324104478625,199.0,949.3015572426534,22.083621722501437,23.0,22.083088897665093,0.2370252194239394,0.0,0.2370169703589156,22.083621722501437,3.0,22.083088897665093
241,1038.9241701975777,61.0,1038.8918872735037,57.79338527728098,226.0,57.79411897194195,1038.9241701975777,184.0,1038.8918872735037,23.638977896739345,22.0,23.638456800509083,0.257683186485988,0.0,0.2576737683018946,23.638977896739345,2.0,23.638456800509083
242,1132.8408371738412,56.0,1132.8073323310034,55.72718289720682,247.0,55.72780044858371,1132.8408371738412,168.0,1132.8073323310034,25.16314050867238,21.0,25.162640683044607,0.28136900931822806,0.0,0.281358254043449,25.16314050867238,3.0,25.162640683044607
243,1230.4932582835434,52.0,1230.4588093550806,53.96941995130249,281.0,53.96991958006462,1230.4932582835434,162.0,1230.4588093550806,26.628982165660357,18.0,26.628514178207226,0.30851238936936004,1.0,0.30850010498634844,26.628982165660357,3.0,26.628514178207226
244,1331.1430383317054,49.0,1331.1079607504173,52.52421784134936,304.0,52.52459644438657,1331.1430383317054,154.0,1331.1079607504173,28.007383639467154,21.0,28.006958526292827,0.3396028235686821,1.0,0.3395887927924387,28.007383639467154,3.0,28.006958526292827
